Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Dominique Wilkins;1989-90;1990s;30;ATL;0.5;0.976;0.988;1;36.1;26.7;6.5;2.5;1.6;0.6;2.2;1.8;10.1;20.9;0.484;0.502;5.7;7.1;0.807;0.556;24.6;0.184;3.7;0;0
Moses Malone;1989-90;1990s;34;ATL;0.5;0.988;1;2;33.8;18.9;10;1.6;0.6;1;2.9;2;6.4;13.3;0.48;0.481;6.1;7.8;0.781;0.564;20.2;0.134;1;0;0
Larry Bird;1989-90;1990s;33;BOS;0.634;0.915;1;1;39.3;24.3;9.5;7.5;1.4;0.8;3.2;2.3;9.6;20.2;0.473;0.495;4.3;4.6;0.93;0.546;21.9;0.154;6.1;0.005;0
Kevin McHale;1989-90;1990s;32;BOS;0.634;1;0.305;2;33.2;20.9;8.3;2.1;0.4;1.9;2.2;3;7.9;14.4;0.549;0.558;4.8;5.4;0.893;0.623;21.8;0.195;3.7;0;0
Robert Parish;1989-90;1990s;36;BOS;0.634;0.963;0.987;3;30.3;15.7;10.1;1.3;0.5;0.9;2.1;2.4;6.4;11;0.58;0.58;2.9;3.9;0.747;0.616;19.2;0.157;1.4;0;0
Michael Jordan;1989-90;1990s;26;CHI;0.671;1;1;1;39;33.6;6.9;6.3;2.8;0.7;3;2.9;12.6;24;0.526;0.55;7.2;8.5;0.848;0.606;31.2;0.285;10.6;0.613;0
Mark Price;1989-90;1990s;25;CLE;0.512;0.89;1;1;37.1;19.6;3.4;9.1;1.6;0.1;2.9;1.2;6.7;14.6;0.459;0.53;4.1;4.6;0.888;0.589;21.1;0.179;3.9;0;0
Derek Harper;1989-90;1990s;28;DAL;0.573;1;1;1;36.7;18;3;7.4;2.3;0.3;2.5;2.7;6.9;14.2;0.488;0.527;3;3.8;0.794;0.567;19.8;0.158;4.3;0;0
Rolando Blackman;1989-90;1990s;30;DAL;0.573;0.976;1;2;36.7;19.4;3.5;3.6;1;0.3;2.2;1.6;7.8;15.7;0.498;0.504;3.6;4.3;0.844;0.552;17;0.111;0.5;0;0
Fat Lever;1989-90;1990s;29;DEN;0.524;0.963;1;1;35.8;18.3;9.3;6.5;2.1;0.2;2;2.2;7.2;16.2;0.443;0.457;3.4;4.3;0.804;0.504;19.9;0.149;5.6;0;0
Isiah Thomas;1989-90;1990s;28;DET;0.72;0.988;1;1;37;18.4;3.8;9.4;1.7;0.2;4;2.5;7.1;16.3;0.438;0.454;3.6;4.7;0.775;0.501;17.3;0.107;2.5;0.001;0
Joe Dumars;1989-90;1990s;26;DET;0.72;0.915;0.947;2;34.4;17.8;2.8;4.9;0.8;0;1.9;1.7;6.8;14.1;0.48;0.491;4;4.4;0.9;0.555;17.2;0.162;1.5;0.001;0
Bill Laimbeer;1989-90;1990s;32;DET;0.72;0.988;1;3;33;12.1;9.6;2.1;0.7;1;1.2;3.4;4.7;9.7;0.484;0.52;2;2.4;0.854;0.564;15.8;0.182;3.8;0;0
Chris Mullin;1989-90;1990s;26;GSW;0.451;0.951;1;1;36.3;25.1;5.9;4.1;1.6;0.6;3.1;1.8;8.7;16.3;0.536;0.57;6.5;7.3;0.889;0.643;22.7;0.174;4.8;0;0
Hakeem Olajuwon;1989-90;1990s;27;HOU;0.5;1;1;1;38.1;24.3;14;2.9;2.1;4.6;3.9;3.8;9.8;19.6;0.501;0.501;4.7;6.5;0.713;0.541;24.1;0.173;5.9;0.07;0
Reggie Miller;1989-90;1990s;24;IND;0.512;1;1;1;38.9;24.6;3.6;3.8;1.3;0.2;2.7;2.1;8.1;15.7;0.514;0.572;6.6;7.6;0.868;0.645;20.8;0.182;3.8;0;0
Charles Smith;1989-90;1990s;24;LAC;0.366;0.951;0.974;1;35;21.1;6.7;1.5;1.1;1.5;2.1;3.8;7.6;14.7;0.52;0.52;5.8;7.3;0.794;0.589;19.5;0.165;1.6;0;0
Magic Johnson;1989-90;1990s;30;LAL;0.768;0.963;1;1;37.2;22.3;6.6;11.5;1.7;0.4;3.7;2.1;6.9;14.4;0.48;0.526;7.2;8.1;0.89;0.622;26.6;0.27;9.5;0.691;1
James Worthy;1989-90;1990s;28;LAL;0.768;0.976;1;2;37;21.1;6;3.6;1.2;0.6;2;2.4;8.9;16.2;0.548;0.554;3.1;4;0.782;0.586;19.8;0.172;4;0;0
Ricky Pierce;1989-90;1990s;30;MIL;0.537;0.72;0;1;29;23;2.8;2.3;0.8;0.1;2.2;2.7;8.5;16.7;0.51;0.533;5.2;6.2;0.839;0.592;21.9;0.163;0.6;0;0
Alvin Robertson;1989-90;1990s;27;MIL;0.537;0.988;1;2;32.1;14.2;6.9;5.5;2.6;0.2;2.7;3.5;5.9;11.7;0.503;0.505;2.4;3.3;0.741;0.542;18.9;0.138;5.5;0;0
Tony Campbell;1989-90;1990s;27;MIN;0.268;1;0.988;1;38.6;23.2;5.5;2.6;1.4;0.4;3.1;3.2;8.8;19.3;0.457;0.46;5.5;6.9;0.787;0.52;17.1;0.081;-0.1;0;0
Patrick Ewing;1989-90;1990s;27;NYK;0.549;1;1;1;38.6;28.6;10.9;2.2;1;4;3.4;4;11.2;20.4;0.551;0.551;6.1;7.9;0.775;0.599;25.8;0.205;4.6;0.176;0
Charles Barkley;1989-90;1990s;26;PHI;0.646;0.963;1;1;39.1;25.2;11.5;3.9;1.9;0.6;3.1;3.2;8.9;14.9;0.6;0.608;7.1;9.4;0.749;0.661;27.1;0.269;9.8;0.667;0
Hersey Hawkins;1989-90;1990s;23;PHI;0.646;1;1;2;34.8;18.5;3.7;3.2;1.6;0.3;2.3;2.6;6.4;13.9;0.46;0.496;4.7;5.3;0.888;0.57;17;0.135;2;0;0
Tom Chambers;1989-90;1990s;30;PHO;0.659;0.988;1;1;37.6;27.2;7;2.3;1.1;0.6;2.7;3.2;10;20;0.501;0.508;6.9;8;0.861;0.579;20.9;0.176;1.8;0.013;0
Kevin Johnson;1989-90;1990s;23;PHO;0.659;0.902;1;2;37.6;22.5;3.6;11.4;1.3;0.2;3.6;1.9;7.8;15.7;0.499;0.502;6.8;8.1;0.838;0.585;22.8;0.2;3.7;0;0
Jeff Hornacek;1989-90;1990s;26;PHO;0.659;0.817;0.896;3;34;17.6;4.7;5;1.7;0.2;1.9;2.1;7.2;13.4;0.536;0.558;2.6;3;0.856;0.596;19.6;0.182;5.2;0;0
